County,Date,Deaths
 Fisher County ,2008,3
 Fisher County ,2009,3
 Fisher County ,2010,3
 Fisher County ,2011,3
 Fisher County ,2012,1
 Floyd County ,1999,1
 Floyd County ,2000,2
 Floyd County ,2001,2
 Floyd County ,2002,0
 Floyd County ,2003,3
 Floyd County ,2004,1
 Floyd County ,2005,2
 Floyd County ,2006,2
 Floyd County ,2007,0
 Floyd County ,2008,1
 Floyd County ,2009,2
 Floyd County ,2010,0
 Floyd County ,2011,3
 Floyd County ,2012,0
 Foard County ,1999,0
 Foard County ,2000,1
 Foard County ,2001,0
 Foard County ,2002,0
 Foard County ,2003,0
